Status,Category,Description,Rating,Closed at,Acknowledged at,Created at,Updated at,HTML URL,Comment URL,API URL,Issue Id,latitude,longitude,Address,OoJ_flag,Days to Acknowledge,Days to Close,User Id ,Image URL,Location
Closed,Pothole,"Middle lane as you go into town. Right before railroad bridge that crosses over Capital, and before traffic lt at Gateway Blvd. ",1,2015-04-07T11:21:32-04:00,2015-04-07T10:00:44-04:00,2015-04-07T09:56:11-04:00,2015-04-07T11:21:32-04:00,https://seeclickfix.com/issues/1574835,https://seeclickfix.com/api/v2/issues/1574835/comments,https://seeclickfix.com/api/v2/issues/1574835,1574835,35.872215,-78.579148,"Capital Blvd Raleigh, North Carolina",true,0,0,0,,"{""latitude""=>35.872215, ""longitude""=>-78.579148}"
Closed,Pothole,"",1,2015-04-07T11:21:22-04:00,2015-04-07T09:31:06-04:00,2015-04-07T09:29:10-04:00,2015-04-07T11:21:23-04:00,https://seeclickfix.com/issues/1574739,https://seeclickfix.com/api/v2/issues/1574739/comments,https://seeclickfix.com/api/v2/issues/1574739,1574739,35.8972302,-78.6565587,"Forum Drive Raleigh, North Carolina",true,0,0,0,,"{""latitude""=>35.8972302, ""longitude""=>-78.6565587}"
Closed,Pothole,"approx. 2 foot in diameter and 8-10"" deep, grows wider every day",1,2015-04-06T15:32:01-04:00,2015-04-06T15:11:24-04:00,2015-04-06T15:04:24-04:00,2015-04-06T15:32:02-04:00,https://seeclickfix.com/issues/1573880,https://seeclickfix.com/api/v2/issues/1573880/comments,https://seeclickfix.com/api/v2/issues/1573880,1573880,35.7869299213419,-78.6432509101307,"West Johnson Street Raleigh, North Carolina",true,0,0,1040723,,"{""latitude""=>35.7869299213419, ""longitude""=>-78.6432509101307}"
Closed,Parks / Greenways,"Several residents of the Apollo Heights neighborhood are using dirt bikes on the Walnut Creek Trail. Even though it's posted that motor vehicles are prohibited, they ride with impugnity. This is a threat to public safety, as I've seen families with small children using this region of the trail.",6,2015-04-06T13:19:32-04:00,,2015-04-06T13:14:54-04:00,2015-04-06T20:08:59-04:00,https://seeclickfix.com/issues/1573630,https://seeclickfix.com/api/v2/issues/1573630/comments,https://seeclickfix.com/api/v2/issues/1573630,1573630,35.7647423632756,-78.6095730937397,"756 Lunar Dr Raleigh, NC 27610, Raleigh, North Carolina",false, ,0,0,,"{""latitude""=>35.7647423632756, ""longitude""=>-78.6095730937397}"
Closed,Pothole,"",2,2015-04-07T10:09:59-04:00,2015-04-06T12:50:26-04:00,2015-04-06T12:45:05-04:00,2015-04-07T10:10:00-04:00,https://seeclickfix.com/issues/1573532,https://seeclickfix.com/api/v2/issues/1573532/comments,https://seeclickfix.com/api/v2/issues/1573532,1573532,35.8348282415801,-78.6059754160226,"1903 New Hope Church Road Raleigh, NC 27609, USA",false,0,0,0,,"{""latitude""=>35.8348282415801, ""longitude""=>-78.6059754160226}"
Closed,Pothole,"",1,2015-04-07T09:50:17-04:00,2015-04-06T12:10:33-04:00,2015-04-06T12:02:07-04:00,2015-04-07T09:50:17-04:00,https://seeclickfix.com/issues/1573413,https://seeclickfix.com/api/v2/issues/1573413/comments,https://seeclickfix.com/api/v2/issues/1573413,1573413,35.8307980980756,-78.6175387345087,"1222 Saint Albans Drive Raleigh, NC 27609, USA",false,0,0,0,,"{""latitude""=>35.8307980980756, ""longitude""=>-78.6175387345087}"
Closed,Observered Street Behavior,"A Black Ford F150 license plate ACB-9989 idles for extended period of time.  

Vicinity 6309 and 6313 Belle Crest Dr, 27612

Mar 21 0202 - 0312. Event ended as one occupant left the Ford.  See images #15, #28

Apr  4 0222 - 0223. Event ended when the vehicle departed at a high rate of speed and sounded horn.  See images #57, #58

Note: 
At no time during either event were the the occupant.  
The accompanying photographs for Apr 4 are time stamped an hour ahead. 

",2,2015-04-06T12:09:59-04:00,,2015-04-06T09:11:45-04:00,2015-04-06T12:09:59-04:00,https://seeclickfix.com/issues/1572992,https://seeclickfix.com/api/v2/issues/1572992/comments,https://seeclickfix.com/api/v2/issues/1572992,1572992,35.868089,-78.676782,"6313 Belle Crest Dr Raleigh, North Carolina",false, ,0,0,https://seeclickfix.com/files/issue_images/0030/8249/DSC_0058_square.JPG,"{""latitude""=>35.868089, ""longitude""=>-78.676782}"
Closed,Pothole,Location is approximate... This entire road is a series of potholes and patches from old potholes.,1,2015-04-06T09:53:45-04:00,2015-04-06T08:51:40-04:00,2015-04-06T08:46:34-04:00,2015-04-06T09:53:45-04:00,https://seeclickfix.com/issues/1572933,https://seeclickfix.com/api/v2/issues/1572933/comments,https://seeclickfix.com/api/v2/issues/1572933,1572933,35.9323836740377,-78.7413446582233,"11601-11659 Hickory Grove Church Road Raleigh, North Carolina",true,0,0,1040067,,"{""latitude""=>35.9323836740377, ""longitude""=>-78.7413446582233}"
Closed,Pothole,Large pothole on right side of right lane of road.  Very difficult to drive in lane without hitting pothole,2,2015-04-06T07:29:33-04:00,2015-04-05T23:00:22-04:00,2015-04-05T22:59:17-04:00,2015-04-06T09:08:43-04:00,https://seeclickfix.com/issues/1572790,https://seeclickfix.com/api/v2/issues/1572790/comments,https://seeclickfix.com/api/v2/issues/1572790,1572790,35.7738184280373,-78.6827414912628,"2500-2502 Avent Ferry Road Raleigh, North Carolina",false,0,0,0,,"{""latitude""=>35.7738184280373, ""longitude""=>-78.6827414912628}"
Closed,Pothole,"",2,2015-04-06T11:12:06-04:00,2015-04-06T10:30:37-04:00,2015-04-05T04:12:56-04:00,2015-04-06T11:12:06-04:00,https://seeclickfix.com/issues/1571923,https://seeclickfix.com/api/v2/issues/1571923/comments,https://seeclickfix.com/api/v2/issues/1571923,1571923,35.8757705688477,-78.5224609375,"3325-3399 Neuse Crossing Drive Raleigh, NC 27616, USA",true,1,1,358449,,"{""latitude""=>35.8757705688477, ""longitude""=>-78.5224609375}"
